,Population,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,% Fair/Poor,% Smokers,% Obese,% Excessive Drinking,% Physically Inactive,Chlamydia Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,Drug Overdose Mortality Rate,% Insufficient Sleep,% Uninsured,PCP Rate,MHP Rate,% Unemployed,% Children in Poverty,Income Ratio,Association Rate,Violent Crime Rate,% Severe Housing Problems,% Limited Access,Household Income,% Free or Reduced Lunch,Food Environment Index,% With Access,% Food Insecure
31,8111,21.797558871,23.301689064,79.435334731,0.3821970164,0.2835655283,1.7137221058,17.544075946,0.0516395559,52.792504007,100.0,34.468846386,26.785551127,10.440404247,23.7,1200.5,19.981760015,20.185895353,21.8,418.7,12.60430763058259,47.789890494,11.688519348,48.58496,12.32894,5.5844606313,45.8,5.7467565121,8.5023685169,669.34404284,19.008264463,21.342475717,28699.0,85.104364326,3.8,6.2244333886,26.1
32,14651,23.015493823,19.691488636,57.675244011,0.2661934339,0.3003207972,1.4265237868,39.717425432,0.2097649186,52.562964985,89.168781726,29.098478362,24.025942095,11.601735897,31.8,1505.5,17.285349092,18.632522685,17.8,432.4,12.60430763058259,43.339299303,11.361881061,20.37213,13.65095,3.938552051,30.8,6.2426092545,6.7907103083,208.55807264,15.269196823,4.6475069881,40745.0,75.0,6.3,29.898477157,20.7
33,17205,20.38942168,23.429235687,25.422842197,0.4591688463,0.424295263,2.6910781749,69.537925022,0.135434622,51.705899448,87.752860941,23.443707799,23.102655914,14.801085875,29.0,571.5,15.074616918,17.409605071,16.3,251.2,12.60430763058259,39.680331928,13.875379939,29.05456,17.43679,3.5570276498,29.2,4.8398220245,13.365099657,197.37229718,9.5910780669,2.1421679703,48597.0,56.650446067,7.6,25.309212808,15.1
34,105882,22.938743129,18.118282616,27.091479194,0.5421129182,1.0738369128,3.4292892087,66.076386921,0.5493331706,52.184507282,33.804051326,23.365290745,22.403607763,13.457682608,32.4,600.9,15.05956826,17.261607744,16.4,395.7,13.652960787,39.753972938,12.723950967,89.76146,152.05606,3.006445473,27.8,5.187490194,11.554401176,487.78848416,13.397371082,6.2826059381,50138.0,63.048423789,6.9,66.544555723,16.9
35,51626,20.693061636,20.514856855,3.3413396351,1.6522682369,0.5830395537,3.0682214388,89.046217022,0.3544076911,50.863905784,77.017303248,25.011633623,23.925996742,14.770012343,33.9,202.3,16.758053073,18.785770858,16.0,79.2,10.948599545,39.568332186,13.309879801,54.12092000000001,48.42521,3.287344575,19.6,4.9233073697,9.0845832689,316.98494808,11.634756996,3.2725105417,44322.0,58.040618214,7.1,47.190335732,17.2
36,658573,22.753741802,16.297206232,43.142673629,0.283036201,1.7896269662,4.0804891789,49.514784238,1.2346879253,52.741457667,9.833765145,20.262153764,18.459457774,17.235430963,29.1,776.9,13.296862352,15.121407072,12.7,666.0,29.690400441,39.727339185,11.125865538,108.75171,190.71538,2.8520336936,22.5,5.3581897782,14.515395116,872.75002018,16.299399365,12.271590614,54127.0,52.75850812,6.6,78.627749952,16.1
37,13805,21.383556682,22.165881927,10.134009417,0.3114813473,0.108656284,1.9051068453,86.012314379,0.1139557852,51.032234698,100.0,24.830977539,24.385483166,14.604074383,31.1,258.1,16.304248075,18.719644389,21.6,144.1,12.60430763058259,38.80118094,11.923005046,51.70606980585615,14.4875,3.060352197,21.6,5.2307194198,7.2233458538,162.21172156,9.9667774086,0.7506765904,42686.0,59.170305677,7.1,10.313100796,18.3
38,92729,19.46101004,20.497363284,9.8599143741,0.4464622718,0.8174357536,2.8599467265,84.574404987,0.4545920634,52.021481953,49.295106192,20.474027004,20.001994621,15.535865754,27.0,444.1,13.847398132,16.399265746,14.6,104.2,12.96577755,38.49459127,11.704764146,49.79055,157.44805,3.2621979882,20.4,4.5485638792,14.612445474,268.60320916,11.595703378,5.0380740879,48188.0,47.904860723,7.4,65.492023428,14.9
39,32924,21.543554854,19.09549265,10.761146884,5.7890900255,0.2217227554,2.3660551573,76.30300085,0.3197033153,51.299963552,91.289787123,23.67712371,24.246588585,14.910979743,30.1,263.2,15.852078547,18.355164192,22.0,103.8,11.118973011,38.524767916,13.89576303,15.17128,127.56652,3.1245631204,22.8,5.0949188614,12.440452711,260.45300219,10.9153581,2.1224881728,47797.0,60.424710425,7.4,48.985118961,16.5
40,164542,21.101603238,12.405343317,22.645282056,0.3628252969,4.1691483026,3.7017904243,67.681199937,1.2867271228,50.869686767,27.409498955,19.958329831,19.286542966,16.948748438,19.9,500.0,13.580986705,15.785290079,10.3,226.4,7.5496799548,38.877180471,10.53490987,51.23795,93.59313,2.7161138679,14.2,6.2814633292,8.0516771277,415.63740099,19.093220339,12.249503723,54160.0,44.47144593,6.7,67.74904276,15.5
41,98915,22.315119042,15.246423697,13.556083506,0.8411262195,1.6812414699,6.2164484659,75.824697973,0.998771087,50.013648082,57.609142084,20.095238678,20.334334757,15.639471306,26.4,424.8,13.647627565,15.769197595,12.8,132.2,7.2541115268,38.729773695,10.949200056,36.39237,52.57039,2.6314589319,16.3,4.9713905808,8.8381475243,160.12374188,11.069939787,3.5183538564,64729.0,46.009834706,7.7,60.967360054,14.1
42,9726,21.992597162,19.751182398,71.766399342,0.3495784495,0.4832407979,1.8609911577,25.107958051,1.692753756036887,53.012543697,100.0,31.136919101,26.272934836,11.481477485,32.5,982.5,18.46274302,19.301620395,17.0,624.3,12.60430763058259,46.443529098,11.705348133,10.02607,156.7570347963081,5.6872037915,36.1,6.4272797727,6.0156406657,671.01922379,17.517401392,13.062144953,33930.0,96.686746988,5.0,4.867687406,23.4
43,18068,17.13526677,20.948638477,79.676776622,0.2711976976,0.5977418641,1.8983838831,16.460039849,1.692753756036887,54.516271862,55.54726832,27.996176885,22.529913919,10.907115392,32.5,1205.0,16.511410362,17.684348388,16.8,535.9,12.60430763058259,44.521082881,11.600964155,37.96301,415.09852,4.2929936306,39.2,6.0129704782,7.050273876,734.31241656,18.535031847,21.63866443,34281.0,97.64957265,4.9,31.339735223,20.2
44,372909,21.644422634,15.321700468,24.394155142,0.803949489,2.6757198137,5.189469817,64.502867992,1.0873071261,51.096380082,16.441514765,17.856829349,17.093278733,15.457286504,24.3,658.6,11.49867023,13.995143597,13.1,258.4,18.446596648,37.8446537,9.4923215899,88.94491,148.56171,2.5450952656,16.8,5.1932187645,10.695216346,610.72315915,11.669185617,7.4673451232,68609.0,38.955266955,7.5,69.313433549,13.6
45,18863,22.514976409,19.874887346,51.306791072,0.2544664157,0.3021788687,2.7991305731,44.42559508,0.0599389712,53.141069819,69.315641794,26.651403092,23.137442257,12.720313666,32.9,485.2,16.343209948,17.934617572,18.4,162.9,12.60430763058259,43.293280289,10.631669648999999,47.20444999999999,37.10969,3.5222251105,36.3,6.9641719745,17.308297493,449.41524948,16.112852665,12.628970654,38838.0,65.412719892,5.7,42.935273696,20.1
46,29709,20.768117406,21.505267764,3.7699013767,0.4173819381,0.3298663705,2.6927866976,91.729778855,0.4414777142,50.769127201,88.854951911,23.805486095,24.170754749,14.946176543,32.7,207.8,16.012164895,18.361828075,18.8,110.0,12.60430763058259,38.374439102,13.084030683,33.59876,16.82992,3.4488091556,23.4,5.0303374541,10.415616705,295.8973336,10.437575271,3.2545426264,44675.0,54.524469067,7.0,47.033402651,17.8
